AS6095 airfoil
0.997136 0.000665
0.988696 0.002720
0.975031 0.006161
0.956545 0.010836
0.933616 0.016481
0.906545 0.022788
0.875554 0.029520
0.840951 0.036580
0.803186 0.043823
0.762749 0.051036
0.720050 0.057890
0.675406 0.064186
0.629212 0.069849
0.581927 0.074764
0.534004 0.078811
0.485893 0.081907
0.438051 0.083971
0.390925 0.084952
0.344948 0.084803
0.300529 0.083514
0.258067 0.081091
0.217932 0.077567
0.180471 0.072974
0.145979 0.067391
0.114727 0.060920
0.086947 0.053697
0.062848 0.045864
0.042572 0.037597
0.026252 0.029106
0.013957 0.020598
0.005718 0.012238
0.001294 0.004313
0.000465 -0.002553
0.003348 -0.006876
0.011152 -0.008389
0.024671 -0.007931
0.043499 -0.005582
0.067522 -0.001315
0.096548 0.004967
0.130617 0.013834
0.170813 0.025751
0.218433 0.038999
0.272913 0.051123
0.332489 0.061006
0.395557 0.068128
0.460647 0.072252
0.526379 0.073335
0.591531 0.071348
0.654423 0.066059
0.713187 0.058251
0.766942 0.049469
0.815484 0.040484
0.858652 0.031830
0.896307 0.023790
0.928223 0.016587
0.954219 0.010500
0.974304 0.005778
0.988577 0.002498
0.997138 0.000614
1.000000 -0.000000
